osm_id,repr_road,lon,lat
373822494,373822494,0.2023235,10.722275
737444772,737444772,0.9880247,6.354856
1033057081,1033057081,0.43650466,10.45183
19750721,19750721,31.685747,4.7040577
21772702,21772702,27.575611,9.011102
44679589,44679589,31.614271,4.8469825
44721926,44721926,31.597563,4.8521
121104320,121104320,28.46405,9.721962
186897300,186897300,32.779446,12.127223
198992212,198992212,27.398756,8.768986
204649106,204649106,30.804207,9.745598
262934479,262934479,30.56625,9.844325
48965011,48965011,29.43548,-1.1971414
49987394,49987394,29.653584,-1.2785968
70192998,70192998,29.22848,-1.680916
141210670,141210670,29.288181,-1.7393758
150812736,150812736,29.19801,-1.6550434
193407244,193407244,29.266832,-1.7306961
198752919,198752919,29.045303,-1.5726378
234197846,234197846,29.680515,-1.302426
375853778,375853778,29.473524,-2.5352664
479687569,479687569,29.268131,-1.6662278
479690307,479690307,29.242893,-1.6537176
479913791,479913791,29.191662,-1.6582329
579343385,579343385,29.445934,-1.1872499
940691133,940691133,29.419216,-1.248265
1172957468,1172957468,29.641823,-1.5087442
23583983,23583983,7.110266,13.492422
23687626,23687626,3.1764019,13.048316
23691142,23691142,2.121297,13.519776
25500956,25500956,7.90172,16.887531
25502119,25502119,7.4998817,13.6759615
25502184,25502184,0.75598013,14.014699
27794252,27794252,2.113175,13.522664
27794362,27794362,2.1192596,13.520964
31262653,31262653,3.2391348,14.1135845
31276700,31276700,2.1708736,13.475095
35893979,35893979,14.078085,22.742756
38634582,38634582,6.238808,15.433488
38639144,38639144,8.987158,13.805315
38751755,38751755,12.235212,13.190094
38752400,38752400,5.262827,14.896304
38839330,38839330,3.1952596,13.052123
38875977,38875977,1.350526,13.870518
39183281,39183281,9.438418,12.816796
39183546,39183546,9.164496,12.939361
39355151,39355151,7.9945173,16.983713
39857007,39857007,7.321867,18.696148
47226129,47226129,8.999557,13.796165
47249893,47249893,7.144409,13.387496
79900279,79900279,3.4210339,11.882415
79900439,79900439,8.938185,13.798219
176723873,176723873,7.3956733,18.732235
179066588,179066588,0.4990113,13.991605
179895443,179895443,0.75684166,14.006812
193513433,193513433,3.3848462,14.755254
193529483,193529483,12.621101,13.359678
198240701,198240701,12.032898,13.214613
203600138,203600138,12.02712,13.218589
203782492,203782492,3.7036104,13.216627
219567550,219567550,8.890925,14.97118
251495483,251495483,3.4506872,11.882626
262010239,262010239,0.6975635,13.8990345
326644910,326644910,5.3130436,14.493393
335584471,335584471,0.43932235,14.029561
367017649,367017649,3.2241657,12.130796
526322983,526322983,6.4076953,13.610619
655697667,655697667,5.3950405,14.333292
680912685,680912685,5.3601623,14.233624
694232370,694232370,4.419853,13.73252
710218778,710218778,0.52172315,14.652231
906604627,906604627,12.890383,13.763001
930954215,930954215,12.553965,13.298294
977436463,977436463,7.401981,18.779655
30037730,30037730,2.230376,6.382427
30037731,30037731,2.437119,6.371111
30037739,30037739,2.584831,7.3216643
30037743,30037743,2.7144723,7.416405
30037753,30037753,1.8110816,6.287655
